"age","city","occupation","gender","income"
47,"Budapest","Software Developer","Female",492371.814307406
41,"Debrecen","Teacher","Male",411921.163293383
43,"Miskolc","Engineer","Female",432200.16944818
45,"Szeged","Sales Representative","Male",349155.321602393
34,"Szeged","Software Developer","Male",447770.621175322
36,"Budapest","Sales Representative","Male",381376.931520417
28,"Miskolc","Accountant","Male",209606.950325332
27,"Budapest","Engineer","Male",320425.716149884
44,"Debrecen","Accountant","Female",430076.143557363
45,"Eger","Manager","Female",449920.0509566
41,"Budapest","Doctor","Female",548468.555000464
51,"Budapest","Nurse","Male",545719.240896048
65,"Budapest","Sales Representative","Male",651182.263881896
34,"Miskolc","Accountant","Female",290498.85820552
12,"Budapest","Chef","Female",0
52,"Budapest","Accountant","Male",643686.036370404
31,"Budapest","Manager","Female",470537.237537902
32,"Szombathely","Software Developer","Female",367075.347852742
52,"Eger","Manager","Male",528712.629511312
37,"Debrecen","Sales Representative","Female",331581.531132418
25,"Miskolc","Software Developer","Female",318493.055311861
42,"Miskolc","Accountant","Female",469226.580833562
38,"Szombathely","Teacher","Female",306339.888019593
40,"Győr","Manager","Male",505371.27695611
45,"Budapest","Engineer","Female",539496.000327088
36,"Budapest","Teacher","Male",372945.342387669
48,"Debrecen","Accountant","Female",416467.788209038
37,"Budapest","Sales Representative","Male",441668.472232999
44,"Budapest","Engineer","Female",585143.289167658
53,"Pécs","Nurse","Female",492870.392895426
45,"Szeged","Sales Representative","Male",494101.055410952
36,"Szombathely","Engineer","Female",353484.658278193
54,"Szombathely","Teacher","Male",513838.473028534
52,"Szeged","Engineer","Male",563207.321470879
47,"Miskolc","Teacher","Female",580202.304321521
43,"Budapest","Software Developer","Male",547233.99568186
32,"Debrecen","Teacher","Female",248164.029191179
56,"Győr","Sales Representative","Male",392851.238148025
33,"Budapest","Nurse","Male",393158.814896239
66,"Budapest","Manager","Male",606756.458650441
58,"Debrecen","Sales Representative","Male",538462.882081975
37,"Debrecen","Software Developer","Male",543224.16450999
28,"Miskolc","Driver","Male",269511.322015748
31,"Szombathely","Engineer","Female",288470.332018243
43,"Budapest","Engineer","Male",518107.793962386
37,"Budapest","Software Developer","Male",567474.36729747
36,"Debrecen","Sales Representative","Female",293995.35506014
29,"Győr","Sales Representative","Female",195612.991620896
39,"Szeged","Sales Representative","Female",360651.585037658
31,"Szeged","Chef","Female",237295.588282702
20,"Győr","Software Developer","Female",225863.182691483
35,"Szeged","Teacher","Female",351372.901748518
51,"Szeged","Chef","Female",576573.957136276
33,"Szeged","Doctor","Female",428533.035175433
47,"Budapest","Manager","Female",611462.603329019
21,"Debrecen","Doctor","Male",275368.046341216
39,"Budapest","Engineer","Male",530747.603675378
46,"Szeged","Sales Representative","Female",322380.395539007
44,"Szombathely","Accountant","Female",358316.338775031
41,"Debrecen","Teacher","Female",423921.228267883
32,"Miskolc","Sales Representative","Female",257570.198778512
30,"Szeged","Nurse","Male",316069.572521742
28,"Eger","Teacher","Female",246240.229358773
41,"Budapest","Sales Representative","Female",439321.698816145
29,"Szeged","Teacher","Male",380244.560327685
34,"Miskolc","Engineer","Male",233874.735374064
37,"Budapest","Accountant","Female",423881.627570821
62,"Szombathely","Accountant","Female",586740.421517363
32,"Szombathely","Nurse","Male",253116.909949425
43,"Budapest","Teacher","Male",419649.090731941
41,"Debrecen","Accountant","Female",470986.988723594
28,"Budapest","Teacher","Female",254501.426041516
39,"Budapest","Software Developer","Male",643236.295767709
57,"Budapest","Manager","Male",683362.80648389
45,"Debrecen","Engineer","Male",452468.848596745
40,"Pécs","Engineer","Female",364220.987694937
35,"Budapest","Teacher","Female",426851.998380634
15,"Debrecen","Sales Representative","Female",0
54,"Miskolc","Sales Representative","Male",407025.803017792
22,"Pécs","Chef","Female",175114.687671681
49,"Budapest","Accountant","Male",520211.493241113
63,"Debrecen","Doctor","Female",639683.113624639
23,"Budapest","Software Developer","Male",389592.88871335
48,"Budapest","Nurse","Male",472587.764589195
37,"Debrecen","Nurse","Male",393124.309231432
21,"Győr","Chef","Female",-23737.6842231589
22,"Miskolc","Teacher","Male",146500.82575605
21,"Budapest","Sales Representative","Male",189673.63520568
34,"Pécs","Accountant","Female",323994.243544976
22,"Budapest","Sales Representative","Male",248650.064243509
48,"Miskolc","Software Developer","Female",539244.5878283
65,"Budapest","Sales Representative","Male",583521.591999712
25,"Debrecen","Nurse","Female",161510.488886491
49,"Pécs","Teacher","Male",441021.736410394
49,"Győr","Accountant","Female",424911.405324245
44,"Eger","Teacher","Female",481497.107932236
28,"Győr","Accountant","Female",263580.352085153
39,"Budapest","Manager","Male",504891.457994006
37,"Miskolc","Manager","Female",378956.150841759
47,"Budapest","Doctor","Male",585138.862166822
36,"Szeged","Engineer","Female",445667.552632247
52,"Budapest","Nurse","Female",522671.336717909
36,"Miskolc","Teacher","Male",301740.350369523
53,"Budapest","Accountant","Male",631016.439991285
27,"Budapest","Engineer","Female",346436.129373993
25,"Szeged","Teacher","Female",207848.480226462
79,"Budapest","Teacher","Female",59406.654974937
35,"Szeged","Manager","Female",409806.382233444
44,"Szeged","Driver","Female",374222.304537727
48,"Debrecen","Teacher","Female",496323.429965514
34,"Budapest","Engineer","Female",340648.436519872
46,"Budapest","Accountant","Male",549793.178691821
44,"Győr","Sales Representative","Male",427561.778278473
37,"Győr","Teacher","Female",308672.419139759
41,"Miskolc","Software Developer","Male",466638.572796056
40,"Budapest","Teacher","Female",472505.442937183
66,"Győr","Nurse","Male",579986.189109208
31,"Szombathely","Nurse","Female",192749.354148033
27,"Győr","Accountant","Male",267686.957585379
40,"Szeged","Nurse","Male",350416.173183161
44,"Budapest","Doctor","Female",502166.995433566
45,"Pécs","Engineer","Male",416887.335393803
34,"Miskolc","Nurse","Male",339575.781322703
27,"Debrecen","Teacher","Male",220549.723843326
55,"Debrecen","Nurse","Male",468325.084186344
36,"Szeged","Sales Representative","Female",382591.424491217
30,"Debrecen","Sales Representative","Female",259437.104849098
37,"Debrecen","Chef","Female",332685.429673029
38,"Szombathely","Chef","Male",315759.025561135
53,"Budapest","Software Developer","Female",734511.557235567
41,"Győr","Sales Representative","Female",283519.350567044
49,"Pécs","Manager","Female",491454.828536968
34,"Debrecen","Engineer","Male",338146.967860435
43,"Szeged","Sales Representative","Female",365030.616817676
36,"Debrecen","Teacher","Female",438032.698906008
41,"Budapest","Sales Representative","Female",485798.400105344
29,"Miskolc","Engineer","Female",223366.321960281
24,"Miskolc","Nurse","Female",218802.166459358
64,"Miskolc","Manager","Male",613808.922392507
47,"Budapest","Sales Representative","Female",435265.0003264
25,"Budapest","Teacher","Female",243939.952465016
33,"Budapest","Software Developer","Male",429852.817905588
26,"Budapest","Teacher","Female",267164.174420166
66,"Debrecen","Software Developer","Male",663288.963788534
56,"Debrecen","Nurse","Female",495288.643826107
37,"Debrecen","Doctor","Female",417811.676490926
47,"Miskolc","Chef","Female",469632.532947942
35,"Miskolc","Accountant","Female",290804.984463868
34,"Budapest","Teacher","Female",330645.551446844
31,"Szombathely","Teacher","Male",228194.97128698
33,"Győr","Sales Representative","Male",270911.570947043
60,"Pécs","Sales Representative","Female",454183.934555778
39,"Szeged","Sales Representative","Male",342478.23740779
41,"Budapest","Nurse","Female",375808.562547036
43,"Budapest","Sales Representative","Female",439942.624623037
55,"Miskolc","Chef","Female",441971.323340213
34,"Budapest","Chef","Female",363866.75272227
28,"Szeged","Accountant","Male",293951.673852041
60,"Miskolc","Nurse","Male",503242.560930453
35,"Miskolc","Teacher","Female",342962.818493088
31,"Eger","Nurse","Male",270122.542970051
25,"Budapest","Sales Representative","Female",242705.449162098
25,"Pécs","Teacher","Female",214418.421814793
33,"Budapest","Accountant","Female",429099.435269667
47,"Budapest","Sales Representative","Female",459887.155227652
53,"Pécs","Sales Representative","Female",358285.328056076
48,"Pécs","Sales Representative","Female",342138.31619022
36,"Szeged","Software Developer","Female",406854.901903633
41,"Miskolc","Driver","Male",244681.919963049
32,"Győr","Nurse","Male",209577.58632067
31,"Budapest","Sales Representative","Male",422575.985481315
51,"Budapest","Chef","Female",509038.170897406
28,"Debrecen","Manager","Male",335056.268033207
63,"Budapest","Engineer","Female",621244.483548274
39,"Eger","Manager","Male",338746.86591342
43,"Budapest","Manager","Male",541517.261478022
31,"Pécs","Nurse","Male",263466.295545519
33,"Szeged","Chef","Male",325471.126170287
24,"Budapest","Doctor","Female",368386.583624635
38,"Eger","Teacher","Male",334712.984698362
45,"Győr","Teacher","Male",382330.635016016
44,"Debrecen","Teacher","Male",483400.473561359
31,"Debrecen","Software Developer","Female",415486.737172431
31,"Budapest","Sales Representative","Male",277138.558973324
34,"Szombathely","Sales Representative","Female",219152.86769534
58,"Budapest","Teacher","Male",571904.797365975
26,"Budapest","Teacher","Male",302098.32236214
38,"Budapest","Nurse","Male",380116.803556219
63,"Pécs","Accountant","Male",567118.664743113
39,"Miskolc","Sales Representative","Female",274571.034712326
24,"Budapest","Manager","Male",377320.896074704
32,"Debrecen","Accountant","Female",285152.75854695
46,"Pécs","Nurse","Male",338090.228482016
35,"Győr","Software Developer","Female",332595.080324907
33,"Szeged","Driver","Female",311655.334139492
36,"Pécs","Driver","Female",227994.569465336
41,"Szeged","Manager","Female",437047.353387029
59,"Budapest","Sales Representative","Female",585760.637425767
39,"Győr","Accountant","Male",347473.627702093
53,"Pécs","Sales Representative","Female",392983.879149915
48,"Szeged","Engineer","Male",551080.687525448
39,"Budapest","Software Developer","Male",564466.988396994
22,"Budapest","Chef","Female",195014.216925437
34,"Debrecen","Chef","Male",388587.336796061
34,"Budapest","Sales Representative","Female",375360.813326227
41,"Debrecen","Sales Representative","Male",400015.477683097
56,"Budapest","Software Developer","Female",665960.857768175
68,"Budapest","Sales Representative","Male",599235.310144085
59,"Miskolc","Teacher","Male",533588.155068496
38,"Debrecen","Driver","Male",321558.361884038
19,"Miskolc","Sales Representative","Male",63060.1252426183
35,"Budapest","Sales Representative","Female",350832.616679632
41,"Debrecen","Sales Representative","Female",339953.628764574
50,"Budapest","Driver","Female",547951.365296963
52,"Budapest","Sales Representative","Female",437250.773551047
48,"Szeged","Sales Representative","Male",315141.819344659
23,"Eger","Teacher","Female",122145.221199891
50,"Miskolc","Sales Representative","Male",488627.61197958
35,"Miskolc","Software Developer","Male",385507.238282784
42,"Győr","Teacher","Male",415934.410700903
41,"Budapest","Teacher","Female",534294.862772911
45,"Budapest","Driver","Male",461070.85823995
40,"Budapest","Driver","Male",468917.184593437
20,"Miskolc","Nurse","Male",147575.772559806
49,"Budapest","Engineer","Female",614958.025576638
45,"Pécs","Nurse","Male",464080.541923453
37,"Budapest","Doctor","Female",560633.954772994
41,"Budapest","Engineer","Male",577525.763098858
42,"Szeged","Software Developer","Male",496523.130417702
43,"Miskolc","Accountant","Male",383133.589555777
60,"Pécs","Manager","Female",552083.342136394
37,"Budapest","Chef","Male",466477.975702746
42,"Szeged","Engineer","Male",518941.886122848
54,"Debrecen","Software Developer","Male",607528.087915541
53,"Budapest","Nurse","Male",564861.196564698
54,"Debrecen","Engineer","Female",466963.922434459
33,"Pécs","Nurse","Female",273877.435934585
64,"Miskolc","Sales Representative","Male",500078.788197532
41,"Szeged","Nurse","Female",427832.108159183
62,"Budapest","Accountant","Female",624977.005401726
24,"Budapest","Teacher","Female",340951.9820486
40,"Debrecen","Sales Representative","Male",387488.539561593
55,"Debrecen","Nurse","Female",527307.5642916
31,"Szeged","Teacher","Female",272427.257552691
31,"Szeged","Nurse","Female",368835.846417099
29,"Pécs","Teacher","Female",232955.736455598
27,"Debrecen","Sales Representative","Male",193138.109333695
35,"Győr","Sales Representative","Female",213990.175775567
44,"Budapest","Manager","Male",495328.105136846
16,"Debrecen","Teacher","Female",0
43,"Budapest","Teacher","Male",429886.368304619
55,"Szeged","Accountant","Female",581023.275330106
64,"Debrecen","Driver","Male",619899.186912186
56,"Szeged","Manager","Male",612674.199773008
49,"Budapest","Accountant","Male",618209.191381779
19,"Budapest","Driver","Male",161835.679742877
33,"Eger","Driver","Male",221751.557768079
36,"Eger","Accountant","Male",355283.264246764
48,"Budapest","Doctor","Male",611035.926827211
39,"Szeged","Driver","Male",321142.258967528
25,"Budapest","Driver","Male",268745.143648014
60,"Miskolc","Doctor","Female",618389.761295952
51,"Budapest","Sales Representative","Male",541269.826314235
43,"Budapest","Driver","Male",501734.153595447
55,"Debrecen","Nurse","Male",483650.094293926
24,"Debrecen","Doctor","Male",257630.902258718
48,"Budapest","Engineer","Male",495497.495940409
34,"Debrecen","Nurse","Female",328094.602743364
48,"Pécs","Teacher","Female",512415.69275699
39,"Győr","Sales Representative","Male",295385.117607933
48,"Miskolc","Accountant","Male",555605.829955335
56,"Miskolc","Engineer","Male",543533.917779104
40,"Miskolc","Teacher","Female",276863.744350764
52,"Debrecen","Sales Representative","Male",547022.887547232
26,"Debrecen","Nurse","Male",241037.066401013
31,"Miskolc","Nurse","Female",213077.493158306
58,"Budapest","Accountant","Female",611144.596252853
45,"Miskolc","Doctor","Male",380261.722201426
15,"Budapest","Sales Representative","Female",0
24,"Pécs","Nurse","Female",141114.673770524
38,"Budapest","Sales Representative","Female",322543.28572919
50,"Pécs","Engineer","Male",535583.444109709
39,"Budapest","Chef","Female",376303.450484941
47,"Miskolc","Doctor","Male",464600.392173777
52,"Budapest","Manager","Female",679325.182616022
60,"Budapest","Teacher","Female",563906.524776773
41,"Szeged","Teacher","Male",502066.293790499
39,"Debrecen","Chef","Male",326221.841295355
19,"Miskolc","Teacher","Female",125302.40777568
41,"Debrecen","Teacher","Male",438402.190833359
33,"Budapest","Nurse","Male",251539.402730383
28,"Szombathely","Accountant","Female",169741.532187894
38,"Pécs","Software Developer","Female",441227.520944637
52,"Debrecen","Accountant","Female",421076.292433617
16,"Budapest","Manager","Male",0
35,"Budapest","Manager","Female",445034.860612027
41,"Pécs","Nurse","Female",401928.15497637
29,"Eger","Manager","Female",247656.353104711
44,"Budapest","Engineer","Female",532546.075255014
45,"Eger","Accountant","Female",452235.015374107
40,"Miskolc","Manager","Female",432797.387697663
10,"Debrecen","Engineer","Male",0
71,"Budapest","Teacher","Male",67587.6693948318
38,"Miskolc","Manager","Female",343846.645533639
48,"Budapest","Accountant","Male",530421.689318429
43,"Budapest","Accountant","Male",571121.907913982
52,"Budapest","Teacher","Male",609037.700523008
50,"Győr","Nurse","Female",439160.997546938
37,"Debrecen","Manager","Male",436796.870806486
45,"Budapest","Teacher","Male",459657.248433865
29,"Budapest","Engineer","Male",323366.488982102
50,"Debrecen","Engineer","Female",490910.400044659
34,"Szeged","Sales Representative","Male",338026.623543335
69,"Budapest","Teacher","Female",584040.206465506
20,"Budapest","Software Developer","Male",320790.293545477
34,"Budapest","Driver","Male",356153.064904197
50,"Budapest","Sales Representative","Female",505891.192452328
46,"Budapest","Accountant","Male",470832.644921468
33,"Szeged","Accountant","Male",284799.807824625
28,"Pécs","Accountant","Female",264224.139023316
42,"Debrecen","Accountant","Male",480468.693692743
40,"Budapest","Manager","Female",494383.229877555
19,"Budapest","Teacher","Female",183110.834359799
40,"Budapest","Chef","Male",450826.415122721
42,"Debrecen","Engineer","Female",451997.268840654
42,"Budapest","Engineer","Male",528352.018559778
27,"Debrecen","Nurse","Female",165044.363938955
46,"Debrecen","Chef","Male",405041.352310601
57,"Győr","Nurse","Male",442674.850552359
45,"Győr","Teacher","Female",404269.479519096
26,"Szombathely","Teacher","Female",151116.514792385
35,"Debrecen","Engineer","Male",386625.447103357
44,"Budapest","Sales Representative","Female",526208.436615853
32,"Budapest","Nurse","Male",391840.700791484
14,"Debrecen","Engineer","Male",0
51,"Győr","Chef","Male",425329.081125075
30,"Debrecen","Software Developer","Female",424305.753284607
33,"Szeged","Accountant","Male",434954.866982671
58,"Debrecen","Software Developer","Male",671816.960382498
31,"Szombathely","Chef","Female",165749.178489614
50,"Budapest","Software Developer","Female",654545.666572513
25,"Debrecen","Engineer","Male",264408.826365748
36,"Szombathely","Accountant","Male",322758.99173122
39,"Pécs","Nurse","Male",203075.754460403
26,"Budapest","Sales Representative","Female",162330.192270269
32,"Debrecen","Teacher","Male",275164.175523704
40,"Budapest","Sales Representative","Female",317981.142886383
48,"Pécs","Teacher","Female",432211.246447593
20,"Szeged","Teacher","Male",176595.901844014
36,"Szeged","Nurse","Female",264193.007379111
49,"Debrecen","Nurse","Female",437074.781908089
34,"Budapest","Teacher","Male",461771.300663137
43,"Debrecen","Engineer","Female",440440.652109116
46,"Szeged","Software Developer","Female",524090.903049057
43,"Szeged","Sales Representative","Female",336375.299658061
48,"Szeged","Doctor","Male",558249.012622801
39,"Budapest","Sales Representative","Male",334746.333252308
35,"Eger","Nurse","Female",236491.141527142
8,"Szombathely","Sales Representative","Male",0
39,"Pécs","Nurse","Male",375279.165095175
45,"Budapest","Software Developer","Male",678068.8768919
46,"Budapest","Engineer","Male",635143.93925205
33,"Budapest","Sales Representative","Female",272652.209481237
61,"Debrecen","Sales Representative","Female",460218.304959636
43,"Szeged","Manager","Male",610812.593826402
42,"Győr","Engineer","Female",358481.985531408
55,"Győr","Teacher","Female",414294.28201658
31,"Budapest","Nurse","Female",326770.07389198
35,"Szeged","Accountant","Female",490903.614143203
69,"Szeged","Manager","Male",675419.341309488
40,"Szeged","Accountant","Male",483041.660262647
60,"Szeged","Software Developer","Female",654990.336821191
23,"Budapest","Sales Representative","Female",215493.111059658
38,"Szombathely","Teacher","Female",281888.923092686
45,"Budapest","Engineer","Male",556762.890866148
44,"Győr","Manager","Male",457087.301520241
28,"Budapest","Driver","Male",198530.368469668
40,"Győr","Accountant","Male",460742.814909729
27,"Budapest","Nurse","Male",280188.865312328
49,"Miskolc","Teacher","Male",526682.798229325
53,"Debrecen","Driver","Male",462334.609070589
13,"Pécs","Sales Representative","Male",0
55,"Győr","Driver","Female",503274.782612768
25,"Eger","Driver","Female",97152.1769507471
45,"Budapest","Sales Representative","Male",424265.144111205
48,"Szeged","Software Developer","Male",601726.587815435
38,"Eger","Nurse","Male",414367.868711972
32,"Pécs","Manager","Female",237863.927470019
42,"Miskolc","Doctor","Female",479443.405228268
45,"Pécs","Nurse","Male",368212.914906285
51,"Szombathely","Sales Representative","Male",321416.983304582
15,"Budapest","Teacher","Male",0
20,"Budapest","Sales Representative","Male",121546.341875382
57,"Debrecen","Chef","Male",504775.425584698
53,"Pécs","Accountant","Male",556960.197107989
45,"Debrecen","Sales Representative","Male",405686.363300786
49,"Budapest","Accountant","Male",593026.828234539
51,"Budapest","Sales Representative","Male",435160.444631018
8,"Budapest","Sales Representative","Male",0
53,"Budapest","Doctor","Male",656457.435391183
34,"Budapest","Nurse","Female",375612.93802681
43,"Budapest","Accountant","Male",526653.839812324
36,"Budapest","Nurse","Female",316671.826232595
50,"Budapest","Manager","Female",589614.193527416
36,"Debrecen","Teacher","Female",375303.874888844
46,"Pécs","Sales Representative","Female",265978.921015214
35,"Debrecen","Manager","Male",398951.090263048
27,"Győr","Engineer","Male",293680.19925095
55,"Budapest","Nurse","Male",605919.067709424
49,"Debrecen","Sales Representative","Female",362802.884862345
61,"Budapest","Manager","Male",654670.350454156
41,"Szeged","Teacher","Female",441880.730412888
54,"Budapest","Nurse","Male",561280.552156499
64,"Eger","Teacher","Female",473902.651597839
37,"Győr","Accountant","Female",381686.27192521
24,"Budapest","Engineer","Male",385168.288998965
37,"Budapest","Sales Representative","Male",355532.181802688
37,"Szeged","Accountant","Male",477763.183307901
42,"Budapest","Software Developer","Male",631317.919249877
61,"Győr","Accountant","Female",523665.375383975
36,"Szeged","Sales Representative","Female",303622.238772397
44,"Szeged","Teacher","Male",499617.837517426
37,"Miskolc","Manager","Male",342245.485785223
40,"Budapest","Nurse","Female",442741.425015305
44,"Eger","Accountant","Male",473151.745634042
56,"Miskolc","Manager","Female",553571.837087693
41,"Szombathely","Driver","Male",328244.005053389
49,"Debrecen","Manager","Male",565969.137426796
49,"Budapest","Manager","Female",565699.750051992
51,"Budapest","Nurse","Female",473442.103743559
33,"Budapest","Accountant","Male",404546.962023149
60,"Debrecen","Doctor","Female",666415.048166202
35,"Budapest","Sales Representative","Male",371991.999937516
39,"Szeged","Teacher","Female",375186.467952389
57,"Miskolc","Engineer","Male",544102.621877981
56,"Szeged","Manager","Male",548405.446816349
27,"Győr","Manager","Male",346644.671254607
30,"Szombathely","Software Developer","Male",383210.205539314
24,"Miskolc","Accountant","Male",221316.57494193
42,"Pécs","Teacher","Female",449886.104456537
42,"Győr","Nurse","Male",430776.898752904
44,"Győr","Nurse","Male",433995.458618202
47,"Budapest","Engineer","Male",563137.230886822
33,"Budapest","Software Developer","Male",474964.810154629
28,"Budapest","Accountant","Female",383467.678998689
52,"Pécs","Doctor","Male",470328.102355146
49,"Budapest","Sales Representative","Male",538138.745558013
22,"Szeged","Accountant","Female",245879.52422625
39,"Miskolc","Accountant","Female",378286.872670126
29,"Pécs","Nurse","Female",271360.144578692
15,"Pécs","Accountant","Female",0
42,"Miskolc","Software Developer","Female",386400.168413238
39,"Budapest","Sales Representative","Male",381560.228838808
39,"Budapest","Engineer","Male",462519.911959425
43,"Szeged","Sales Representative","Male",418779.761536588
51,"Szeged","Manager","Female",450491.003078895
42,"Miskolc","Manager","Female",590410.115713747
33,"Budapest","Teacher","Female",390337.385757137
31,"Budapest","Teacher","Male",354289.318493216
38,"Debrecen","Teacher","Female",362295.676626963
44,"Budapest","Driver","Male",476063.534825185
28,"Eger","Manager","Female",199763.325870977
38,"Budapest","Nurse","Male",448758.526329417
52,"Szombathely","Nurse","Male",429519.689061664
39,"Budapest","Accountant","Male",436128.613968022
32,"Budapest","Sales Representative","Female",337295.048808732
37,"Budapest","Sales Representative","Female",316501.040492472
53,"Budapest","Nurse","Male",521632.601563913
47,"Szombathely","Teacher","Female",440839.011153812
55,"Szombathely","Chef","Male",454385.494896294
42,"Miskolc","Teacher","Male",354824.094575097
45,"Debrecen","Sales Representative","Male",419712.69132213
33,"Debrecen","Accountant","Male",308380.394590936
47,"Miskolc","Sales Representative","Female",396535.290493199
34,"Debrecen","Software Developer","Female",379416.182455737
23,"Debrecen","Accountant","Male",225064.109859646
42,"Budapest","Teacher","Male",504045.375872793
63,"Szombathely","Nurse","Male",505611.52345276
50,"Debrecen","Teacher","Male",552483.127281295
54,"Szeged","Manager","Female",599317.41287707
44,"Szeged","Teacher","Female",387005.990437948
33,"Debrecen","Sales Representative","Female",252393.417385172
38,"Debrecen","Manager","Male",553412.611626221
37,"Pécs","Sales Representative","Male",368718.542010736
34,"Budapest","Accountant","Female",511233.424404683
48,"Pécs","Nurse","Female",520478.052279809
26,"Budapest","Engineer","Male",387445.862973376
50,"Miskolc","Software Developer","Male",544499.900762546
50,"Budapest","Engineer","Female",454235.233473033
26,"Szombathely","Manager","Female",259606.0872104
48,"Szeged","Driver","Male",383786.682253777
69,"Budapest","Sales Representative","Male",613812.985712655
33,"Budapest","Chef","Male",333133.840243992
50,"Debrecen","Accountant","Female",444232.03933456
31,"Debrecen","Software Developer","Male",476219.514280374
53,"Budapest","Engineer","Male",593589.98554996
43,"Szombathely","Nurse","Male",330380.938284436
60,"Pécs","Sales Representative","Female",430110.155215948
22,"Szeged","Sales Representative","Female",122061.24143935
39,"Debrecen","Sales Representative","Female",361401.537314172
34,"Budapest","Teacher","Male",354661.952539264
38,"Debrecen","Manager","Female",434914.608466851
32,"Eger","Sales Representative","Female",209057.826778613
30,"Budapest","Teacher","Female",310281.596771061
47,"Győr","Accountant","Female",395829.896484241
27,"Szeged","Driver","Female",134024.0787105
58,"Budapest","Engineer","Male",634577.568637581
26,"Debrecen","Driver","Male",220310.02288726
41,"Budapest","Doctor","Male",578570.201443758
46,"Eger","Accountant","Female",380085.167388975
47,"Debrecen","Sales Representative","Male",406739.832887459
36,"Budapest","Sales Representative","Female",333415.286789628
41,"Pécs","Sales Representative","Female",221561.077376551
52,"Győr","Sales Representative","Female",396368.208377513
23,"Budapest","Accountant","Female",287344.612282447
31,"Miskolc","Manager","Female",206154.972971933
44,"Eger","Driver","Male",414004.368332223
35,"Debrecen","Accountant","Female",474185.542102379
56,"Budapest","Sales Representative","Male",547343.494176534
48,"Miskolc","Chef","Female",343792.300833081
41,"Debrecen","Chef","Female",403183.205679109
22,"Pécs","Chef","Male",68690.4459575567
40,"Pécs","Engineer","Female",453524.60249035
36,"Debrecen","Sales Representative","Female",284866.002898278
39,"Budapest","Nurse","Female",434567.01168451
26,"Budapest","Nurse","Male",310180.446969895
46,"Debrecen","Teacher","Male",538425.028792455
28,"Budapest","Nurse","Male",373525.559848168
37,"Budapest","Sales Representative","Female",320789.492600376
45,"Budapest","Chef","Female",435334.027248573
31,"Miskolc","Sales Representative","Female",91977.5368222401
47,"Debrecen","Chef","Male",529292.566081563
24,"Szombathely","Driver","Male",131610.533484692
6,"Debrecen","Accountant","Male",0
46,"Debrecen","Sales Representative","Male",436660.176572354
50,"Szombathely","Teacher","Female",504927.15438001
37,"Debrecen","Nurse","Female",334117.094883767
46,"Miskolc","Doctor","Male",477756.217491814
26,"Miskolc","Nurse","Male",117176.904076623
